Move_Name,Startup,Active,Recovery,On Hit,On Block,Damage,Stun,Command,Comments
Standing LP,5,3,10,4,3,40,70,,None
Standing MP,9,3,18,7,5,70,100,,None
Standing HP,20,4,25,0,-3,90,150,,Triggers Crush Counter  (crumple)
Standing LK,6,3,12,4,3,50,70,,None
Standing MK,11,3,18,2,0,80,100,,None
Standing HK,18,4,29,D,-8,90,150,,Triggers Crush Counter  (D)
Crouching LP,6,3,12,2,1,40,70,,None
Crouching MP,13,4,18,3,-2,70,100,,None
Crouching HP,11,5,35,-13,-18,90,150,,"Triggers Crush Counter  (D)
                                                Forces stand"
Crouching LK,4,2,12,5,2,40,70,,None
Crouching MK,12,2,21,0,-3,60,100,,None
Crouching HK,16,6,32,D,-14,120,150,,"Triggers Crush Counter  (D)
                                                                                                                                                                V*Only possible during 1st attack"
Jumping LP,5,5,,,,60,70,,None
Jumping MP,14,5,,,,70,100,,Will not hit crouching opponents
Jumping HP,12,6,,,,110,150,,Causes blowback knockdown on mid-air hit
Jumping LK,4,5,,,,60,70,,None
Jumping MK,10,5,,,,70,100,,Can cross-up
Diagonal Jumping HK,14,5,,,,90,150,,Causes knockdown on airborne hit
VStanding HP,20,4,25,0,-3,103,150,,"Triggers Crush Counter  (crumple)
                                                                                                                                                                Armor from 5F to 14F (1 hit)"
VStanding HP (LV2),30,4,25,(crumple),-3,115,150,,"Uses 500F V-Gauge Timer
                                                                                                                                                                                Release the button between 24F - 39F to perform
Armor from 5F to active frame 3F (1 hit)"
VStanding HP (LV3),45,4,25,(crumple),GB,115,150,,"Uses 500F V-Gauge Timer
                                                                                                                                                                                Armor from 5F to 39F (1 hit)
Armor from 40F to 44F (100 hits)
During guard break +18F"
VCrouching HP,11,5,35,-13,-18,103,150,,"Triggers Crush Counter  (crumple)
                                                                                                                                                                Armor from 5F to 6F (1 hit)"
VCrouching HP (LV2),21,5,35,D,-18,103,150,,"Uses 500F V-Gauge Timer
                                                                                                                                                                                Release the button between 16F - 34F to perform
Armor from 5F to active frame 3F (1 hit)"
VCrouching HP (LV3),40,5,35,D,GB,103,150,,"Uses 500F V-Gauge Timer
                                                                                                                                                                                Armor from 5F to 34F (1 hit)
Armor from 35F to 39F (100 hits)
During guard break +1F"
Abi Hammer,21,3,23,3,-8,70,100,→ + MP,"Active frame 1F only will not hit grounded opponents
                                                                                Causes knockdown on airborne hit
On the ground hit possible only for active frame 3F"
Abi Lift,10,5,18,4,1,90,150,→ + HP,Will not hit crouching opponents
Abi Blaster,7,2,35,-3,-6,90,150,← + HP,"Can nullify projectiles (gain 30 CA gauge upon absorption)
Causes blowback knockdown on mid-air hit"
Abi Scissor,13,2,30,D,-14,100,150,↙ + HK,None
Vroom Vroom,3,2,11,4,3,30,70,LP ▶ LP,None
Bang Bang,4,2,10,4,3,30,70,↓ + LP ▶ ↓ + LP,None
Abi Twist,17,2,28,D,-9,90,150,← + HP ▶ HP,None
VAbi Lift,10,5,18,4,1,103,150,→ + HP,"Will not hit crouching opponents
                                                                                                Armor from frame 5F (1 hit)"
