Move_Name,Startup,Active,Recovery,On Hit,On Block,Damage,Stun,Command,Comments
Standing LP,5,2,8,5,2,30,70,,None
Standing MP,7,3,14,3,0,60,100,,None
Standing HP,10,2,24,0,-6,80,150,,Triggers Crush Counter (+15F)
Standing LK,4,4,8,4,3,30,70,,None
Standing MK,7,4,13,3,2,60,100,,S*Can only be canceled into V-Electric Thunder
Standing HK,10,5,22,6,-4,80,150,,Forces stand
Crouching LP,4,3,7,4,2,30,70,,None
Crouching MP,6,4,18,0,-3,60,100,,None
Crouching HP,13,3,20,1,-3,90,150,,"Triggers Crush Counter (D)
                                                Forces stand"
Crouching LK,4,3,8,4,1,20,70,,S*Only Electric Thunder can be special move canceled
Crouching MK,6,2,16,5,-1,50,100,,None
Crouching HK,8,3,27,D,-12,100,150,,Triggers Crush Counter (D)
Jumping LP,4,4,,,,40,70,,None
Jumping MP,6,3,,,,70,100,,None
Diagonal Jumping HP,7,5,,,,90,150,,None
Vertical Jumping HP,8,4,,,,90,150,,None
Jumping LK,3,5,,,,40,70,,None
Jumping MK,7,5,,,,70,100,,Can cross-up
Jumping HK,9,4,,,,90,150,,None
Rock Crusher,21,3,17,2,-7,70,100,→ + MP,None
Rock Crusher (Charge Attack),34,3,13,4,-2,90,120,→ + MP (HOLD BUTTONS),None
Amazon River Run,11,10,25,D,-14,80,150,↘ + HP,None
Raging Bash (2),7,5,36,D,-19,60,70,MK ▶ HK,The second hit only can be canceled into Surprise Forward/Surprise Back
Raging Bash (3),26,2,30,D,,70,100,MK ▶ HK ▶ (ON HIT) HP,None
Lightning Dance,36-*1(*223),7,27,D,,80(*2100),100(*2150),(WHEN SELECTING VSKILL II) MK ▶ HK ▶ (ON HIT) MP MK,"*1When buttons not held at startup frame
*2Denotes value when LV2 available; V Gauge increase becomes 0/80"
Surprise Forward,,,28 total frames,,,,,→ + LK,"Can be canceled into with regular moves that can cancel into Special Moves, as well as standing heavy kick"
Surprise Back,,,29 total frames,,,,,← + LK,"Can be canceled into with regular moves that can cancel into Special Moves, as well as standing heavy kick"
Wild Fang,5,3,17,,,130,150,(NEAR OPPONENT) → OR + LP LK,None
Jungle Wheel,5,3,17,,,130,200,(NEAR OPPONENT) ← + LP LK,None
