Move_Name,Startup,Active,Recovery,On Hit,On Block,Damage,Stun,Command,Comments
Standing LP,4,2,6,4,2,30,70,,"Can be rapid canceled
                                                                                                                                VS*Can only be canceled V-Skill II"
Standing MP,6,3,9,7,3,60,100,,VS*Can only be canceled V-Skill II
Standing HP,6,2,20,1,-3,80,150,,VS*Can only be canceled V-Skill II
Standing LK,4,2,7,2,1,40,70,,None
Standing MK,8,3,15,2,-2,60,100,,None
Standing HK,9,4,17(*20),4,-2,90,150,,"Triggers Crush Counter (+20F)
                                                                Will not hit crouching opponents
                                                                                                *On whiff"
Crouching LP,3,3,6,4,0,20,70,,"Can be rapid canceled
                                                                                                                                VS*Can only be canceled V-Skill II"
Crouching MP,5,3,10(*12),5,1,60,100,,"*On whiff
VS*Can only be canceled V-Skill II"
Crouching HP,9,3,20,1,-2,80,150,,None
Crouching LK,4,2,9,1,-1,20,70,,Can be rapid canceled
Crouching MK,7,2,14,0,-3,50,100,,VS*Can only be canceled V-Skill II
Crouching HK,7,2,22,D,-12,90,150,,Triggers Crush Counter  (D)
Jumping LP,3,5,,,,40,70,,None
Jumping MP,5,5,,,,70,100,,None
Jumping HP,7,5,,,,90,150,,None
Jumping LK,3,5,,,,40,70,,Can cross-up
Jumping MK,6,5,,,,70,100,,None
Jumping HK,7,5,,,,90,150,,None
Lift Upper,4,4,14,4,1,60,100,← + MP,"Forces stand
                                                                                                                VS*Can only be canceled V-Skill II"
Knee Bullet,12,4,17,5,-2,80,150,→ + HK,Causes blowback knockdown on airborne hit
Lift Combination,9,4,27,D,-12,80,100,← + MP ▶ HK,"Will not hit crouching opponents
                                                                                                S*CA*VS*Only on hit
VS*Can only be canceled V-Skill II"
Gyro Clipper,5,3,17,,,130,120,(NEAR OPPONENT) → OR + LP LK,None
Delta Through,5,3,17,,,150,200,(NEAR OPPONENT) ← + LP LK,None
Neck Spiral,5,2,6 frame(s) after landing,,,150,200,(CLOSE TO OPPONENT IN AIR) + LP LK,None
[VS1] Axel Spin Knuckle,35,2,13,7,2,60,100,(WHEN SELECTING VSKILL I) MP MK,"Forces stand
                                                                11F  throw invincibility
25F - 28F  projectile invincibility
12F - 24F  projectile & throw invincibility"
[VS1] Axel Spin Knuckle (when switching sides),36,2,16,7,2,60,100,(WHEN SELECTING VSKILL I) MP MK,"Forces stand
                                                                11F  throw invincibility
25F - 28F  projectile invincibility
12F - 24F  projectile & throw invincibility"
[VS2] Spinning Attack,15,5,13+15 frame(s) after landing,D,-6,80,120,(WHEN SELECTING VSKILL II) MP MK,Triggers Crush Counter  (D)
Delta Drive,1,,8,,,,,HP HK,"V-Gauge Timer + 3000F
                                                                                                                                                                                While active, the applicable special moves become stronger"
Strike Back,17,2,24,2,-6,60,0,(DURING GUARD) → + LK,"1F - 8F  attack & projectile invincibility
                                                Recover 200 stun upon activation"
