Move_Name,Startup,Active,Recovery,On Hit,On Block,Damage,Stun,Command,Comments
Standing LP,4,2,8,5,2,30,70,,Can be rapid canceled
VStanding LP,4,5,5,6,2,40,70,,Can be rapid canceled
Standing MP,5,3,9,6,3,60,100,,None
VStanding MP,5,3,9,8,3,70,100,,None
Standing HP,11,2,18,0,-4,80,150,,None
VStanding HP,11,4,16,2,-4,90,150,,None
Standing LK,5,3,7,1,-3,40,70,,None
VStanding LK,5,4,6,1,-3,50,70,,None
Standing MK,8,3,15,2,-2,70,100,,None
VStanding MK,8,4,14,4,-2,80,100,,None
Standing HK,12,3,16,1,-2,90,150,,"Triggers Crush Counter (+21F)
                                                                Will not hit crouching opponents"
VStanding HK,12,3,16,1,-2,100,150,,"Triggers Crush Counter  (D)
                                                                Will not hit crouching opponents"
Crouching LP,4,3,5,5,2,30,70,,Can be rapid canceled
VCrouching LP,4,4,4,6,2,40,70,,Can be rapid canceled
Crouching MP,10,9,18,-3,-8,60,100,,6F - 18F  projectile invincibility
VCrouching MP,10,9,18,-3,-8,70,100,,6F - 18F  projectile invincibility
Crouching HP,7,4,17,2,-5,100,150,,S*CA*V*VS*Only possible during 1st attack
VCrouching HP,7,4,14,2,-2,110,150,,S*CA*VS*Only possible during 1st attack
Crouching LK,3,2,8,2,-1,20,70,,"Can be rapid canceled
                                                                                                                                S*Can only be canceled into Hyakuretsukyaku"
VCrouching LK,3,3,7,4,-1,30,70,,"Can be rapid canceled
                                                                                                                                S*Can only be canceled into Hyakuretsukyaku"
Crouching MK,6,2,16,2,-2,50,100,,None
VCrouching MK,6,2,14,4,-2,60,100,,None
Crouching HK,8,3,24,D,-12,90,150,,Triggers Crush Counter  (D)
VCrouching HK,8,4,23,D,-12,100,150,,Triggers Crush Counter  (D)
Jumping LP,3,5,,,,40,70,,None
VJumping LP,3,5,,,,50,70,,None
Jumping MP,6,4,,,,60,100,,Causes blowback knockdown on airborne hit
VJumping MP,6,4,,,,70,100,,Causes blowback knockdown on airborne hit
Jumping HP,6,8,,,,100,150,,None
VJumping HP,6,8,,,,110,150,,Causes blowback knockdown on airborne hit
Jumping LK,4,7,,,,40,70,,None
VJumping LK,4,7,,,,50,70,,None
Jumping MK,6,5,,,,60,100,,Can cross-up
VJumping MK,6,5,,,,70,100,,"Can cross-up
                                                                                                                                                Causes blowback knockdown on airborne hit"
Diagonal Jumping HK,9,6,,,,90,150,,None
VDiagonal Jumping HK,9,6,,,,100,150,,Causes blowback knockdown on airborne hit
Vertical Jump HK,7,5,,,,90,150,,None
VVertical Jump HK,7,5,,,,100,150,,Causes blowback knockdown on airborne hit
Senenshu,26,2,16,2,-2,70,100,↘ + MK,None
VSenenshu,26,2,16,4,-2,80,100,↘ + MK,None
Tsuitotsuken,7,2,12,3,0,65,100,← OR → + MP,None
VTsuitotsuken,7,3,11,4,0,75,100,← OR → + MP,None
Hakkei,7,5,18,3,2,90,150,← + HP,Triggers Crush Counter  (D)
VHakkei,7,7,11,6,2,100,150,← + HP,Triggers Crush Counter  (D)
Kakurakukyaku,34,7,3+7 frame(s) after landing,8,4,80,150,↘ + HK,"Can cross-up
                                                                                                                                                Recovery is for when the move hits on the 5th active frame against the same character"
VKakurakukyaku,34,7,3+7 frame(s) after landing,8,6,90,150,↘ + HK,"Can cross-up
                                                                                                                                                Recovery is for when the move hits on the 5th active frame against the same character"
Tenkukyaku,8,5,13,2,0,80,150,← + HK,Forces stand
VTenkukyaku,8,5,13,2,0,80,150,← + HK,Forces stand
Yokusenkyaku,18,5,13(*18),2,-2,80,150,→ + HK,"Triggers Crush Counter (+18F)
                                                                                                                                                                *On whiff"
VYokusenkyaku,18,5,13(*18),4,-2,90,150,→ + HK,"Triggers Crush Counter (+18F)
                                                                                                                                                                *On whiff"
Yosokyaku,5,4,4 frame(s) after landing,D,,40,60,(DURING JUMP) ↓ + MK,Can cross-up
VYosokyaku,5,4,4 frame(s) after landing,D,,50,60,(DURING JUMP) ↓ + MK,Can cross-up
Yosokyaku (2),,,4 frame(s) after landing,D,,50,60,(DURING JUMP) ↓ + MK ▶ ↓ + MK,Can cross-up
VYosokyaku (2),,,4 frame(s) after landing,D,,60,60,(DURING JUMP) ↓ + MK ▶ ↓ + MK,Can cross-up
Yosokyaku (3),,,4 frame(s) after landing,D,,60,60,(DURING JUMP) ↓ + MK ▶ ↓ + MK ▶ ↓ + MK,Can cross-up
VYosokyaku (3),,,4 frame(s) after landing,D,,70,60,(DURING JUMP) ↓ + MK ▶ ↓ + MK ▶ ↓ + MK,Can cross-up
Wall Jump,,,,,,,,(DURING JUMP NEAR WALL) ↗,Enters special counterable state from the start of the move until landing
Koshuto,5,3,17,,,120,150,(NEAR OPPONENT) → OR + LP LK,None
Tenshin Shushu,5,3,17,,,140,200,(NEAR OPPONENT) ← + LP LK,None
Ryuseiraku,5,2,6 frame(s) after landing,,,130,200,(CLOSE TO OPPONENT IN AIR) LP LK,None
