Move_Name,Startup,Active,Recovery,On Hit,On Block,Damage,Stun,Command,Comments
Standing LP,3,3,8,5,3,30,70,,1F will not hit grounded opponents
Standing MP,12,2,17,4,-4,60,100,,None
Standing HP,16,5,22,-3,-6,90,150,,Will not hit airborne opponents
Standing LK,4,3,7,3,2,40,70,,None
Standing MK,10,2,15,2,-4,50,100,,None
Standing HK,15,2,21,4,-4,90,150,,Triggers Crush Counter (+22F)
Crouching LP,4,3,7,4,1,30,70,,Can be rapid canceled
Crouching MP,9,4,19,-1,-3,70,100,,Will not hit crouching opponents
Crouching HP,9,3,13,7,3,90,150,,None
Crouching LK,4,6,14,-3,-6,30,70,,None
Crouching MK,7,11,12,-2,-7,60,100,,None
Crouching HK,12,16,19,D,-20,90,150,,Triggers Crush Counter  (D)
Jumping LP,5,5,,,,40,70,,*Value for V-Skill1 version
Jumping MP,6,4,,,,60,100,,"Will not hit grounded opponents
                                *Value for V-Skill1 version"
Jumping HP,9,4,,,,90,150,,*Value for V-Skill1 version
Jumping LK,4,5,,,,40,70,,"Can cross-up
                                                                                                *Value for V-Skill1 version"
Jumping MK,6,6,,,,70,100,,*Value for V-Skill1 version
Jumping HK,12,6,,,,90,150,,"Will not hit crouching opponents
                                                *Value for V-Skill1 version"
Yoga Upper,8,4,16,4,1,60,100,← + MP,Forces stand
Yoga Anvil,12,6,24,-3,-8,90,150,← + HP,Triggers Crush Counter  (D)
Divine Kick,6,3,15,3,1,60,100,← + MK,None
Thrust kick,7,3,15,2,-1,50,100,↙ + MK,None
Drill Kick,12,Until landing,7 frame(s) after landing,,,60,70,(DURING JUMP) ↓ + K,None
Yoga Rocket,5,3,17,,,120,120,(NEAR OPPONENT) → OR + LP LK,None
Yoga Hoop,5,3,17,,,130,200,(NEAR OPPONENT) ← + LP LK,None
[VS1] Yoga Float,,,,,,,,(WHEN SELECTING VSKILL I) → OR + MP MK,Enters special counterable state from frame 6 until landing
[VS1] Yoga Float (Airborne),,,,,,,,(WHEN SELECTING VSKILL I) (DURING JUMP) MP MK,Enters special counterable state from the start of the move until landing
[VS2] Yoga Deep Breath,,,50 total frames,,,,,(WHEN SELECTING VSKILL II) MP MK,Strengthens Yoga Fire (1 time)
[VS2] Yoga Deep Breath(Airborne),,,56 total frames,,,,,(WHEN SELECTING VSKILL II) (DURING JUMP) MP MK,Strengthens Yoga Fire (1 time)
Yoga Burner,1+12,3,24,D,4,120(*+200),150,HP HK,*Fire damage
Yoga Mala,17,2,23,D,-2,60,0,(DURING GUARD) → + LP,"1F - 30F  attack & projectile invincibility
                                                Recover 200 stun upon activation"
V-Shift,1,9,22,,,,,HP MK,"1F - 16F  throw invincibility
                                                Allows you to evade strikes and projectiles from frames 1-9 (Increases the V-Gauge by 150 when the evasion triggers)
Counterable during recovery
17 frame move that's fully invincible until the end of recovery when evading attacks.
Transitions to V-Shift Break when evading attacks."
Yoga Bazooka,8,3,23,D,-2,60,0,HP MK ▶ (AFTER EVADING WITH V-SHIFT) HP MK,1F - 10F  full invincibility
Yoga Fire,15,,48 total frames,-3,-5,50,100,↓↘→ + P,None
EX Yoga Fire,14,,42 total frames,5,3,100,100,↓↘→ + P P,Button strength changes projectile speed
Yoga Fire (VS2 Ver.),15,,43 total frames,4,2,70,120,(DURING V-SKILL II) ↓↘→ + P,None
EX Yoga Fire (VS2 Ver.),14,,39 total frames,15,16,120,120,(DURING V-SKILL II) ↓↘→ + P P,Button strength changes projectile speed
L Yoga Flame,13,23,21,D,-3,60,150,→↘↓↙← + LP,None
M Yoga Flame,18,27,14,D,-2,70,150,→↘↓↙← + MP,None
H Yoga Flame,25,32,18,D,3,90,200,→↘↓↙← + HP,None
EX Yoga Flame,12,32,23,D,-8,120,150,→↘↓↙← + P P,None
L Yoga Gale,13,14,4 frame(s) after landing,D,*2,80,200,(DURING VERTICAL OR FORWARD JUMP) →↘↓↙← + LP,*Fastest timing from the jump
M Yoga Gale,15,16,4 frame(s) after landing,D,*-2,90,200,(DURING VERTICAL OR FORWARD JUMP) →↘↓↙← + MP,*Fastest timing from the jump
H Yoga Gale,17,18,4 frame(s) after landing,D,*-4,100,200,(DURING VERTICAL OR FORWARD JUMP) →↘↓↙← + HP,*Fastest timing from the jump
EX Yoga Gale,10,18,4 frame(s) after landing,D,,150,200,(DURING VERTICAL OR FORWARD JUMP) →↘↓↙← + P P,None
Yoga Teleport,,,53 total frames (*58 total frames),,,,,→↓↘ OR ←↓↙ + LP OR LK,"1F - 4F  attack & projectile invincibility
5F - 28F  full invincibility
                                                *+LMHonly: recovery +5F"
Airborne Yoga Teleport,,,29 total frames,,,,,(DURING JUMP) →↓↘ OR ←↓↙ + LP OR LK,9F - 22F  full invincibility
Yoga Sunburst (Lv1),1+9,,50 total frames,D,9,300,0,↓↘→ ↓↘→ + P,"5F - 9F  attack & projectile invincibility
1F - 4F  full invincibility"
Yoga Sunburst (Lv2),1+39,,80 total frames,D,21,360,0,↓↘→ ↓↘→ + P (HOLD BUTTONS),"5F - 9F  attack & projectile invincibility
1F - 4F  full invincibility"
Yoga Sunburst (Lv3),1+69,,110 total frames,D,39,400,0,↓↘→ ↓↘→ + P (max hold button),"5F - 9F  attack & projectile invincibility
1F - 4F  full invincibility"
Airborne Yoga Sunburst (Lv1),1+9,,4 frame(s) after landing,D,,300,0,(DURING JUMP) ↓↘→ ↓↘→ + P,1F - 9F  full invincibility
Airborne Yoga Sunburst (Lv2),1+39,,4 frame(s) after landing,D,,360,0,(DURING JUMP) ↓↘→ ↓↘→ + P (HOLD BUTTONS),1F - 9F  full invincibility
Airborne Yoga Sunburst (Lv3),1+69,,4 frame(s) after landing,D,,400,0,(DURING JUMP) ↓↘→ ↓↘→ + P (max hold button),1F - 9F  full invincibility
Airborne Yoga Sunburst (explodes upon ground contact),,,,D,,200,0,(DURING JUMP) ↓↘→ ↓↘→ + P,None
