Move_Name,Startup,Active,Recovery,On Hit,On Block,Damage,Stun,Command,Comments
Standing LP,5,3,9,5,3,40,90,,None
Standing MP,7,4,13,5,2,70,120,,None
Standing HP,8,6,22,-2,-7,90(*80),150,,"S*CA*Can be canceled up to active frame 3F
*From active frame 4F"
Standing LK,4,3,8,4,2,40,90,,None
Standing MK,5,2,14,7,4,60,120,,Forces stand
Standing HK,8 ,5,21,0/5,-4/2,90(*80),150,,"First hit only forces stand
                Second hit will not hit crouching opponents
                                                                                                *For the 2nd hit"
Crouching LP,5(*3),3,9,5,2,40,90,,"Can be rapid canceled
                                                                                                                                *Can be performed by rapid button press"
Crouching MP,6,3,14,4,2,60,120,,None
Crouching HP,10,2,21,4,-5,100,150,,Triggers Crush Counter (+25F)
Crouching LK,4,2,13,3,0,30,90,,"Can chain cancel into crouching LP
S*Can only be canceled into Hundred Hand Slap"
Crouching MK,6,3,14,5,-2,60,120,,None
Crouching HK,7,4,17,D,-9,100,150,,"Triggers Crush Counter (D)
                                                                                                                                                                V*Can be canceled only if it hits from the front"
Jumping LP,4,5,,,,50,90,,None
Jumping MP,6,7,,,,70,120,,None
Jumping HP,7,3,,,,90,150,,None
Vertical Jumping HP,10,5,,,,90,150,,Can move forward or backward using the direction keys
Jumping LK,4,9,,,,50,90,,None
Jumping MK,6,4,,,,70,120,,None
Jumping HK,9,6,,,,90,150,,None
Harai-Geri,12,3,24,2,-7,80,150,→ + HK,Triggers Crush Counter (+20F)
Chikara-Ashi,20,6,16,5,4,90,120,↘ + HK,"Can hit downed opponents
S*Can be canceled from 12F until the attack active frames"
Flying Sumo Press,12,9,,,,70,120,(DURING FORWARD JUMP) ↓ + MK,None
Tokoshizume,20,6,16,5,2,70,100,MP ▶ ↘ + HK,S*Can be canceled from 12F until the attack active frames
Tsurane Harite,7,4,19,D,-6,50,100,LP ▶ MP,S*VS*Only on hit
Hirate,13,4,24,D,,70,120,LP ▶ MP ▶ MP MK,None
Saba-Ori,5,3,17,,,130,170,(NEAR OPPONENT) → OR + LP LK,None
Tawara Throw,5,3,17,,,140,170,(NEAR OPPONENT) ← + LP LK,None
[VS1] Neko Damashi,12,4,24,3,-6,60,120,(WHEN SELECTING VSKILL I) MP MK,None
[VS2] Sumo Spirit,,,50 total frames,,,,,(WHEN SELECTING VSKILL II) MP MK,"Changes the properties of the next Hundred Hand Slap used
Parameter changes; can be canceled into from regular moves that are cancelable into V Trigger/Harai-Geri/Chikara-Ashi/Tokoshizume"
Onigawara,1,,5,,,,,HP HK,"V-Gauge Timer + 3000F
                                                                                                                                                                                Will be able to use Oni-Daikaku and Oni-Muso"
Raiden-Ho,17,2,24,D,-2,60,0,(DURING GUARD) → + LP,"1F - 30F  attack invincibility
                                                Recover 200 stun upon activation"
V-Shift,1,9,22,,,,,HP MK,"1F - 16F  throw invincibility
                                                Allows you to evade strikes and projectiles from frames 1-9 (Increases the V-Gauge by 150 when the evasion triggers)
Counterable during recovery
17 frame move that's fully invincible until the end of recovery when evading attacks.
Transitions to V-Shift Break when evading attacks."
Super Sumo Impact,8,3,23,D,-2,60,0,HP MK ▶ (AFTER EVADING WITH V-SHIFT) HP MK,1F - 10F  full invincibility
L Sumo Headbutt,10,17,10+14 frame(s) after landing,D,-4,120(*100),180(*150),→ + LP,"CA*Only for the base hit
S*Can be canceled into Oni-Daikaku on hit only
*Consecutive hits value"
M Sumo Headbutt,8,22,9+14 frame(s) after landing,D,-7,140(*110),180(*150),→ + MP,"CA*Only for the base hit
S*Can be canceled into Oni-Daikaku on hit only
*Consecutive hits value"
H Sumo Headbutt,12,28,11+16 frame(s) after landing,D,-12,160(*120),180(*150),→ + HP,"Upper body invincibility from 1F - 14F for mid-air attacks
CA*Only for the base hit
S*Can be canceled into Oni-Daikaku on hit only
*Consecutive hits value"
