Move_Name,Startup,Active,Recovery,On Hit,On Block,Damage,Stun,Command,Comments
Standing LP,4,2,8,5,3,30,70,,None
Standing MP,6,3,12,7,3,60,100,,None
Standing HP,11,4,21,3,-3,80,150,,Triggers Crush Counter (D)
Standing LK,5,3,10,4,1,40,70,,None
Standing MK,9,3,17,2,-2,60,100,,None
Standing HK,9,5,25,2,-5,90(*80),150(*100),,"*On max-distance hit
CA*Only possible during 1st attack"
Crouching LP,4,3,8,5,2,30,70,,None
Crouching MP,7,3,15,5,2,60,100,,None
Crouching HP,8,4,21,1,-3,90(*80),150,,"Forces stand
                                                                                                                From active frame 2F"
Crouching LK,4,2,9,4,1,20,70,,None
Crouching MK,8,3,14,4,-2,60,100,,None
Crouching HK,10,2,28,D,-14,100,150,,"Triggers Crush Counter (D)
                                                                                                                                                                S*Can only be canceled into G Charge
Can only be canceled into Message to the People."
Jumping LP,3,6,,,,40,70,,None
Jumping MP,7,6,,,,60,100,,None
Jumping HP,9,5,,,,90,150,,None
Jumping LK,4,7,,,,40,70,,None
Jumping MK,5,6,,,,70,100,,None
Jumping HK,11,5,,,,90,150,,None
Wild President,15,3,22,2,-4,90,150,→ + HP,"Triggers Crush Counter (+16F)
                                                                                                                                                                S*Can only be canceled into G Charge
Can only be canceled into Message to the People."
Strong President,9,5,23,D,-5,80(*70),150(*150),← + HP,Can only be canceled into Message to the People.
Crash President,25,2,22,1,-7,90,150,→ + HK,None
Flying President,9,7,,,,60,100,(DURING FORWARD JUMP) ↓ + MP,Can cross-up
Message To The People * Pattern 1,,,1660 total frames,,,0,0,↓ ↓ + LK MK,"31F: EX Gauge +50
80F: EX Gauge +50
280F: EX Gauge +50
480F: EX Gauge +50
680F: EX Gauge +100
880F: EX Gauge +100
1080F: EX Gauge +100
1280F: EX Gauge +100
1460F: EX Gauge +300
Note: Move can be canceled from 32F to 1430F."
Message To The People * Pattern 2,,,1760 total frames,,,0,0,↓ ↓ + MK HK,"31F: EX Gauge +50
80F: EX Gauge +50
280F: EX Gauge +50
480F: EX Gauge +50
680F: EX Gauge +100
880F: EX Gauge +100
1080F: EX Gauge +100
1280F: EX Gauge +100
1555F: EX Gauge +300
Note: Move can be canceled from 32F to 1530F"
Message To The People * Pattern 3,,,1720 total frames,,,0,0,↓ ↓ + LK HK,"31F: EX Gauge +50
80F: EX Gauge +50
280F: EX Gauge +50
480F: EX Gauge +50
680F: EX Gauge +100
880F: EX Gauge +100
1080F: EX Gauge +100
1280F: EX Gauge +100
1525F: EX Gauge +300
Note: Move can be canceled from 32F to 1510F"
Message To The People (Cancel),,,,,,0,0,,Patterns 1-3 have the same functionality
Violence President,5,3,17,,,130,150,(NEAR OPPONENT) → OR + LP LK,None
Destroy President,5,3,17,,,130,200,(NEAR OPPONENT) ← + LP LK,None
Shining President,5,3,17,,,140,200,(WHILE OPPONENT IS CROUCHING) (NEAR OPPONENT) → OR + LP LK,None
[VS1] G Barrier,13(*13),13(*13),23,D,-17,50,100,(WHEN SELECTING VSKILL I) MP MK,"*Value while absorbing projectile
V-Gauge +80 upon successful absorption of a projectile
S*Can only be canceled into G Charge on hit
Can only be canceled into Message to the People on hit."
[VS1] Airborne G Barrier,13(*9),16(*26),11 frame(s) after landing,D,,50,100,(WHEN SELECTING VSKILL I) (DURING VERTICAL OR FORWARD JUMP) MP MK,"*Value while absorbing projectile
V-Gauge +80 upon successful absorption of a projectile
Can perform moves in the air after absorbing a projectile"
V[VS1] G Barrier,13(*9),26(*30),63 total frames,D,-2,50+80,100+100,(WHEN SELECTING VSKILL I) (DURING V-TRIGGER I) MP MK,"Uses 500F V-Gauge Timer
                                                                                                                                                                                *Value while absorbing projectile
Gain 80 EX Gauge upon successfully absorbing a projectile"
V[VS1] Airborne G Barrier,13(*9),13(*20),11 frame(s) after landing,D,,50+80,100+100,(WHEN SELECTING VSKILL I) (DURING V-TRIGGER I) (DURING VERTICAL OR FORWARD JUMP) MP MK,"Uses 500F V-Gauge Timer
                                                                                                                                                                                *Value while absorbing projectile
Gain 80 EX Gauge upon successfully absorbing a projectile"
