Move_Name,Startup,Active,Recovery,On Hit,On Block,Damage,Stun,Command,Comments
Standing LP,4,2,8,4,3,30,70,,Can be rapid canceled
Standing MP,6,3,13,6,3,60,100,,None
Standing HP,8,3,18,7,-4,80,150,,Forces stand
Standing LK,4,3,9,4,2,30,70,,None
Standing MK,7,3,15,3,-1,70,100,,None
Standing HK,14,3,18,2,-3,80,150,,None
Crouching LP,4,3,7,4,2,30,70,,Can be rapid canceled
Crouching MP,6,2,13,3,2,60,100,,None
Crouching HP,9,5,16,2,-4,90(*70),150,,"Triggers Crush Counter  (D)
                                                Forces stand
                                                                                                                *From active frame 3F"
Crouching LK,4,3,8,2,0,20,70,,Can be rapid canceled
Crouching MK,7,2,15,2,-4,60,100,,None
Crouching HK,7,5,20,D,-13,90+70,150+100,,"Triggers Crush Counter  (D)
                                                                                                                                                                V*Only possible during 1st attack"
Jumping LP,4,5,,,,40,70,,None
Jumping MP,5,5,,,,70,100,,None
Jumping HP,8,5,,,,90,150,,None
Jumping LK,4,5,,,,40,70,,Can cross-up
Jumping MK,7,5,,,,60,100,,None
Jumping HK,10,5,,,,90,150,,None
Knee Bazooka,8,5,20,-1,-3,50,100,← OR → + LK,None
Rolling Sobat,12,2,19(*20),2,-4,60,100,← OR → + MK,*On whiff
Reverse Spin Kick,16,3,18,4,-2,90,150,→ + HK,8F - 32F  throw invincibility
Burn Straight,8,3,20(*25),2,-1,80,150,← + HP,"Triggers Crush Counter  (D)
                                                                                                                                                                *On whiff"
Spinning Back Knuckle,11,3,16,4,-1,90,150,→ + HP,"Triggers Crush Counter (+26F)
                                                                Will not hit crouching opponents"
Full Bullet Magnum,21,2,19,1,-7,60,100,→ + MP,None
Guile High Kick,11,2,25,D,-3,80,150,↘ + HK,Will not hit crouching opponents
Drake Fang,16,4,21,1,-7,60,100,↓ + MK ▶ → + MP,None
Tall Edge,6,3,17,1,-8,60,100,↓ + LK ▶ MP,None
Bullet Revolver,10,3,22,D,-8,70,150,↓ + LK ▶ MP ▶ → + HP,"Will not hit crouching opponents
                                                                                                VS*on hit"
Swing Out,10,3,22,D,-8,70,150,MP ▶ → + HP,"Will not hit crouching opponents
                                                                                                VS*on hit"
Taurus Combination,7,3,15,D,-4,50,80,LK ▶ MK,VS*on hit
