Move_Name,Startup,Active,Recovery,On Hit,On Block,Damage,Stun,Command,Comments
Standing LP,4,3,5,4,3,30,70,,Can be rapid canceled
Standing MP,6,3,12,4,-1,60,100,,None
Standing HP,6,2,23,-3,-5,80,120,,None
Standing LK,4,3,10,1,1,30,70,,None
Standing MK,9,3,17,3,-3,70,100,,None
Standing HK,11,2,19,4,-2,80,150,,"Triggers Crush Counter (+23F)
                                                                Will not hit crouching opponents"
Crouching LP,3,2,8,3,1,30,70,,Can be rapid canceled
Crouching MP,5,3,12,6,3,60,100,,None
Crouching HP,8,6,20,3,-4,80(*70),120,,"Active frames 1F – 3F forces stand
Active frames 3F – 6F cannot be canceled
*From active frame 4F"
Crouching LK,4,2,8,2,1,20,70,,Can be rapid canceled
Crouching MK,7,2,15,2,-2,50,100,,None
Crouching HK,8,2,24,D,-11,90,150,,Triggers Crush Counter (D)
Jumping LP,4,5,,,,40,70,,None
Jumping MP,7,3,,,,60,100,,Causes blowback knockdown on airborne hit
Jumping HP,8,5,,,,90,150,,None
Jumping LK,4,5,,,,40,70,,None
Jumping MK,8,5,,,,60,100,,Can cross-up
Jumping HK,10,4,,,,90,150,,None
Zugaihasatsu,22,3,22,1,-7,70,100,→ + MP,None
Tenmakujinkyaku,16,Until landing,6 frame(s) after landing,,,60,100,(DURING FORWARD JUMP) ↓ + MK,"Properties change when used from Airborne Ashura Senku
(When an airborne opponent is hit, the effect may change from mid-air recovery to a blow back, etc.)"
Kikokuduki,9,4,20,2,-4,80,150,→ + HP,"Triggers Crush Counter (D)
                                                Forces stand"
Kikokuduki,14,2,26,D,-12,70,100,→ + HP ▶ HK,Will not hit crouching opponents
Sekiei Gozanken,27,2,29,D,,60,100,(WHEN SELECTING VSKILL II) → + HP ▶ HK ▶ (ON HIT) MP MK,None
VSekiei Gozanken,24,6,24,D,,100,150,(WHEN SELECTING VSKILL II) (DURING V-TRIGGER II) → + HP ▶ HK ▶ (ON HIT) MP MK,None
