Move_Name,Startup,Active,Recovery,On Hit,On Block,Damage,Stun,Command,Comments
Standing LP,4,2,7,4,2,30,70,,Can be rapid canceled
Standing MP,5,3,12,4,1,60,100,,None
Standing HP,7,4,22,2,-5,80,150,,1F will not hit grounded opponents
Standing LK,4,3,8,4,2,40,70,,None
Standing MK,8,3,16,2,-4,60,100,,None
Standing HK,12,2,23,0,-4,80,150,,Triggers Crush Counter (+15F)
Crouching LP,3,2,8,3,2,20,70,,Can be rapid canceled
Crouching MP,5,4,10,6,2,60,100,,None
Crouching HP,7,4,22,-3,-7,90(*70),150,,"Triggers Crush Counter  (D)
                                                Forces stand
                                                                                                                *From active frame 2F"
Crouching LK,4,2,8,2,0,30,70,,None
Crouching MK,6,2,14,-1,-4,50,100,,None
Crouching HK,9,3,23,D,-14,90,150,,Triggers Crush Counter  (D)
Jumping LP,3,5,,,,40,70,,None
Jumping MP,6,6,,,,60,100,,Causes blowback knockdown on airborne hit
Jumping HP,7,5,,,,90,150,,None
Jumping LK,4,6,,,,40,70,,Can cross-up
Jumping MK,6,6,,,,60,100,,Can cross-up
Jumping HK,9,4,,,,90,150,,None
Tsumujigari,22,2,21,0,-7,60,100,→ + MK,11F - 18F  throw invincibility
Ku-Renge,7,5,,,,60,100,(DURING JUMP) MP ▶ HP,None
Hajotsui,5,3,17,,,130,120,(NEAR OPPONENT) → OR + LP LK,None
Arakuma Inashi,5,3,17,,,150,200,(NEAR OPPONENT) ← + LP LK,None
[VS1] Meioken,14,5,17,D,-5,50,100,(WHEN SELECTING VSKILL I) MP MK,None
[VS1] Meioken (Hold Button),21,5,18,D,-2,70,150,(WHEN SELECTING VSKILL I) MP MK (HOLD BUTTONS),None
[VS2] Fudo Sosho,11,5,21,3,-2,60,100,(WHEN SELECTING VSKILL II) MP MK,"Triggers Crush Counter (D)
                                                                                                                                                                S*Can only be canceled with Guren Ken"
[VS2] Fudo Sosho (Hold Button),30,5,17,6,3,80,120,(WHEN SELECTING VSKILL II) MP MK (HOLD BUTTONS),Triggers Crush Counter (crumple)
Kanzuki-Ryu Guren No Kata,1,,4,,,,,HP HK,"V-Gauge Timer + 1800F
                                                                                                                                                                                Gains Guren Ken as a special move while active"
Ressencho,17,2,24,D,-2,60,0,(DURING GUARD) → + LP,"1F - 30F  attack & projectile invincibility
                                                Recover 200 stun upon activation"
V-Shift,1,9,22,,,,,HP MK,"1F - 16F  throw invincibility
                                                Allows you to evade strikes and projectiles from frames 1-9 (Increases the V-Gauge by 150 when the evasion triggers)
Counterable during recovery
17 frame move that's fully invincible until the end of recovery when evading attacks.
Transitions to V-Shift Break when evading attacks."
Koka Tenshinchu: Sumeragi,8,3,23,D,-2,60,0,HP MK ▶ (AFTER EVADING WITH V-SHIFT) HP MK,1F - 10F  full invincibility
L Kanzuki-Ryu Hokojutsu Seppo,,,24 total frames,,,,,↓↘→ + LK,None
M Kanzuki-Ryu Hokojutsu Seppo,,,25 total frames,,,,,↓↘→ + MK,None
H Kanzuki-Ryu Hokojutsu Seppo,,,26 total frames,,,,,↓↘→ + HK,None
EX Kanzuki-Ryu Hokojutsu Seppo,,,21 total frames,,,,,↓↘→ + K K,4F - 17F  projectile invincibility
Tenko,9,3,21,D,-10,60,80,(DURING Seppo) P,None
Tenko (Fastest),6,4,20,D,-10,70,80,(DURING Seppo) P,None
EX Tenko,6,4,18,D,-7,100,120,(DURING EX Seppo) P,1F - 2F  projectile invincibility
Orochi,11,4,20,2,-2,80,150,(DURING Seppo) ↓ + P,3F - 14F  projectile invincibility
EX Orochi,12,4,27,(crumple),-7,140,150,(DURING EX Seppo) ↓ + P,1F - 2F  projectile invincibility
L Mujinkyaku,11,6,19,2,-7,70,100,↓↙← + LK,CA*Only possible during 2nd attack
M Mujinkyaku,11,8,23,2,-6,70+90,90+150,↓↙← + MK,CA*Only possible during 2nd attack
H Mujinkyaku,13,12,31,D,-15,120,180,↓↙← + HK,CA*Only possible during 2nd attack
EX Mujinkyaku,8,12,17,D,-2,150,200,↓↙← + K K,None
L Ressenha,16,5,19,2,-6,70,100,↓↙← + LP,None
M Ressenha,21,6,18,2,-5,80,150,↓↙← + MP,None
H Ressenha,26,5,17,1,-4,90,150,↓↙← + HP,14F - 31F  projectile invincibility
EX Ressenha,5,6,23+12 frame(s) after landing,D,-41,140,150,↓↙← + P P,"1F - 7F  full invincibility
                                                Subject to counter hit during move duration (1.2x damage)"
Senha Resshu,23,2,8+14 frame(s) after landing,D,,150,200,(DURING Ressenha) ↑ + K,Will not hit crouching opponents
Senha Kusabi,15,8,20,D,-9,80,100,(DURING Ressenha) ↓ + K,None
VGuren Ken,12,8,19,-2,-6,60,60,↓↘→ + P,Uses 500F V-Gauge Timer
VGuren Hosho,13,4,32,D,-16,110,120,(DURING Guren Ken) P,None
VGuren Senha,16,5,19,4,-2,100,150,(DURING Guren Ken) ↑ + P,First hit will not hit crouching opponents
VGuren Chochu,16,5,17,2,1,60,70,(DURING Guren Ken) ↓ + P,None
VGuren Hochu,24,3,24,D,-11,70,100,(DURING Guren Ken) ↓ + P ▶ ↓ + P,1F - 19F  full invincibility
VGuren Resshu,22,6,5+14 frame(s) after landing,D,,150,200,(DURING Guren Ken) ↑ + K,Will not hit crouching opponents
VGuren Kusabi,13,11,18,D,-10,70,100,(DURING Guren Ken) ↓ + K,1F - 25F  projectile invincibility
VGuren Kyoho,,,13 total frames,-4,-8,,,(DURING Guren Ken) K,Uses 500F V-Gauge Timer
Kanzuki-Ryu Hadorokushiki Hasha No Kata,1+4,13,14+24 frame(s) after landing,D,-18,340,0,↓↘→ ↓↘→ + P,"1F - 6F, 43F - 44F  full invincibility"
