Move_Name,Startup,Active,Recovery,On Hit,On Block,Damage,Stun,Command,Comments
Standing LP,4,2,7,5,2,30,70,,Can be rapid canceled
Standing MP,7,2,15,3,2,60,100,,None
Standing HP,9,2,20,5,-3,80,150,,Triggers Crush Counter (+7F)
Standing LK,4,2,9,3,-1,30,70,,None
Standing MK,8,3,19,1,-2,60,100,,"Forces stand
                                                                                                                VS*Can only be canceled V-Skill I"
Standing HK,14,2,26,3,-4,80,150,,"Triggers Crush Counter  (D)
                                                                                                                                                                VS*Can only be canceled V-Skill I"
Crouching LP,4,3,7,4,2,30,70,,Can be rapid canceled
Crouching MP,6,3,12,5,2,60,100,,None
Crouching HP,6,5,22,2,-9,90(*70),150,,"Triggers Crush Counter  (D)
                                                Forces stand
                                                                                                                *From active frame 2F"
Crouching LK,4,2,7,4,1,20,70,,"Can be rapid canceled
                                                                                                                                VS*Can only be canceled V-Skill I"
Crouching MK,6,2,14,2,-4,50,100,,None
Crouching HK,8,3,23,D,-12,90,150,,"Triggers Crush Counter  (D)
                                                                                                                                                                VS*Can only be canceled V-Skill I"
Jumping LP,3,6,,,,40,70,,None
Jumping MP,5,6,,,,70,100,,None
Jumping HP,9,4,,,,90,150,,None
Jumping LK,4,7,,,,40,70,,None
Jumping MK,6,5,,,,60,100,,Can cross-up
Jumping HK,8,5,,,,90,150,,None
Inazuma Kick,22,3,19,1,-7,60,100,← + MK,None
Thunder Kick,26,3,22,2,-7,80,150,→ + HK (HOLD BUTTONS),None
Thunder Kick (Feint),,,34 total frames,,,,,→ + HK,None
Chin Buster,5,2,17,0,-2,50,80,← + MP,None
Chin Buster 2nd,6,3,27,D,-13,50,80,← + MP ▶ HP,None
Lion Breaker,10,4,20,D,-6,50,100,MK ▶ HK,Will not hit crouching opponents
Knee Bash,5,3,17,,,120,120,(NEAR OPPONENT) → OR + LP LK,None
Hell Wheel,5,3,17,,,140,200,(NEAR OPPONENT) ← + LP LK,None
[VS1] Quick Step,,,22 total frames,,,,,(WHEN SELECTING VSKILL I) MP MK,None
[VS1] Quick Step (Hold Button),24,2,25,D,-6,50,100,(WHEN SELECTING VSKILL I) MP MK (HOLD BUTTONS),None
[VS2] Ryusenkyaku,26,4,20,2,-2,60,100,(WHEN SELECTING VSKILL II) MP MK,Can only be canceled by attacks that can cancel into Special Moves.
[VS2] Ryusenkyaku (Hold Button),43,7,17,4,3,90,120,(WHEN SELECTING VSKILL II) MP MK (HOLD BUTTONS),Can only be canceled by attacks that can cancel into Special Moves.
V[VS2] Ryusenkyaku,26,4,20,2,-2,80,120,(WHEN SELECTING VSKILL II) MP MK,Can only be canceled by attacks that can cancel into Special Moves.
