Move_Name,Startup,Active,Recovery,On Hit,On Block,Damage,Stun,Command,Comments
Standing LP,4,3,6,4,2,30,70,,None
Standing MP,6,3,13,4,2,60,100,,None
Standing HP,8,3,19,5,-4,80,150,,Triggers Crush Counter (+18F)
Standing LK,5,3,9,1,-2,40,70,,None
Standing MK,5,3,14,3,-2,50,100,,None
Standing HK,11,3,20,6,-2,80,150,,"Triggers Crush Counter (+23F)
                                                                Will not hit crouching opponents"
Crouching LP,3,2,8,4,1,20,70,,None
Crouching MP,6,3,13,5,2,60,100,,None
Crouching HP,7,3,23,0,-3,80,150,,None
Crouching LK,4,2,8,3,1,20,70,,Can be rapid canceled
Crouching MK,8,3,15,3,1,50,100,,None
Crouching HK,10,4,24,D,-12,100,150,,"Triggers Crush Counter  (D)
                                                                                                                                                                S*CA*Only possible for 1st attack on hit
V*Only possible during 1st attack"
Jumping LP,3,5,,,,40,70,,None
Jumping MP,5,6,,,,70,100,,None
Jumping HP,7,4,,,,90,150,,None
Jumping LK,4,5,,,,40,70,,Can cross-up
Jumping MK,6,5,,,,70,100,,None
Jumping HK,9,4,,,,90,150,,None
Blizzard Heel,23,5,18,1,-7,60,100,→ + MK,None
Sniping Kick,14,3,19,3,-2,90,150,← + HK,Triggers Crush Counter  (D)
Isicle Stamp,18,Until landing,4 frame(s) after landing,,,30,70,(DURING JUMP) ↓ + MK,Enters special counterable state from the start of the move until landing
Frost Spike (2),6,3,17,0,-6,40,60,LP ▶ MP,None
Frost Spike (3),8,,,1,-9,60,80,LP ▶ MP ▶ HP,S*CA*Only on hit
White Out (2),8,3,23,-1,-9,50,70,MK ▶ HP,None
White Out (3),10,,,D,-12,60,100,(WHEN SELECTING VSKILL I) MK ▶ HP ▶ MP MK,None
White Pressure,14,1,49,D,,100,150,(WHEN SELECTING VSKILL II) MK ▶ HP ▶ MP MK,Opponent takes ice damage on hit
Cold Low (2),4,2,8,3,1,20,70,(DURING M Vanity Step) ↓ + LK,None
Cold Low (3),10,4,24,D,-12,100,150,(DURING M Vanity Step) ↓ + LK ▶ ↓ + HK,"S*CA*Only possible for 1st attack on hit
V*Only possible during 1st attack"
Brinicle (2),4,2,8,3,1,20,70,(DURING M Vanity Step) ↓ + LK,None
Brinicle (3),8,3,21,D,-2,90,150,(DURING M Vanity Step) ↓ + LK ▶ ↓ + HP,S*CA*Only on hit
