Move_Name,Startup,Active,Recovery,On Hit,On Block,Damage,Stun,Command,Comments
Standing LP,4,3,7,5,3,30,70,,None
Standing MP,7,3,14,6,2,60,100,,None
Standing HP,11,3,20,-1,-6,90,150,,None
Standing LK,3,2,10,0,-2,30,70,,None
Standing MK,7,3,13,2,-2,60,100,,None
Standing HK,9,3,18,6,3,80,150,,"Triggers Crush Counter  (crumple)
                                                Forces stand"
Crouching LP,4,3,5,4,3,30,70,,Can be rapid canceled
Crouching MP,6,3,12,3,1,60,100,,None
Crouching HP,10,5,23,-5,-11,100,150,,Forces stand
Crouching LK,4,2,7,3,2,20,70,,Can be rapid canceled
Crouching MK,7,2,15,0,-2,50,100,,None
Crouching HK,15,10,23,D,-12,90,150,,Triggers Crush Counter  (D)
Jumping LP,4,6,,,,40,70,,None
Jumping MP,7,3,,,,50,100,,Causes blowback knockdown on airborne hit
Jumping HP,8,6,,,,90,150,,None
Jumping LK,3,6,,,,40,70,,None
Jumping MK,6,6,,,,60,100,,Can cross-up
Jumping HK,8,6,,,,90,150,,None
Hell Attack,5,4,,,,70,50,(DURING JUMP) MP ▶ MP,None
Psycho Axe,18,3,20(*25),6,1,80,150,↘ + HP,"Triggers Crush Counter (+15F)
                                                                                                                                                                *On whiff"
Shadow Axe,14,3,20,2,-8,50,120,MP ▶ ↘ + HP,Triggers Crush Counter (+15F)
Psycho Impact,5,3,17,,,140,170,(NEAR OPPONENT) → OR + LP LK,None
Psycho Fall,5,3,17,,,130,150,(NEAR OPPONENT) ← + LP LK,None
[VS1] Psycho Reflect,6,9(*7),28,,,,,(WHEN SELECTING VSKILL I) MP MK,"*Value while absorbing projectile
Subject to counter hit during move duration"
[VS1] Psycho Reflect (Shoot Projectile),16,,36 total frames,D,13,80,100,(WHEN SELECTING VSKILL I) MP MK (HOLD BUTTONS),Note: Automatically fires the projectile upon successful Psycho Reflect absorption
[VS1] Psycho Reflect (Attack),13,5,25,D,2,100,150,,Psycho Reflect (Shoot Projectile) automatically triggers if an attack or projectile attached to a character is stopped by the counter hitbox
[VS1] Psycho Punishment,16,,36 total frames,D,13,80,100,(WHEN SELECTING VSKILL I) (DURING THE ABSORPTION STATE) MP MK,"Can be canceled into from special move-cancelable normal moves
Note: After a successful non-button hold Psycho Reflect absorption, the projectile can be fired by pressing MP + MK again"
[VS2] Hell's Warp,43,4,18(*20),D,1,70,100,(WHEN SELECTING VSKILL II) MP MK,"21F - 31F  full invincibility
                                                *On whiff"
