Move_Name,Startup,Active,Recovery,On Hit,On Block,Damage,Stun,Command,Comments
Standing LP,3,3,6,4,2,30,70,,VS*Can only be canceled V-Skill II
Standing MP,7,4,21,D,-6,70,120,,VS*Can only be canceled V-Skill II
Standing HP,11,3,20,2,-2,80,150,,VS*Can only be canceled V-Skill II
Standing HP (Hold Button),24,4,16,7,2,100,150,,VS*Can only be canceled V-Skill II
Standing LK,5,3,8,5,2,40,70,,VS*Can only be canceled V-Skill II
Standing MK,6,2,15,5,3,60,100,,VS*Can only be canceled V-Skill II
Standing HK,11 ,3,22,2,-4,90,150,,Triggers Crush Counter (+22F)
Crouching LP,4,3,7,4,2,40,70,,"Can be rapid canceled
                                                                                                                                VS*Can only be canceled V-Skill II"
Crouching MP,7,3,16,3,-2,70,100,,None
Crouching HP,7,4,26,-4,-7,90,150,,"Triggers Crush Counter (+15F)
                                                                                                                                                                VS*Can only be canceled V-Skill II"
Crouching LK,4,2,7,3,0,20,70,,Can be rapid canceled
Crouching MK,7,3,14,0,-2,50,100,,VS*Can only be canceled V-Skill II
Crouching HK,8,2,23,D,-12,100,150,,Triggers Crush Counter (D)
Jumping LP,4,6,,,,50,90,,None
Jumping MP,7,3,,,,70,120,,None
Jumping HP,10,7,,,,100,150,,Second hit causes blowback knockdown
Jumping LK,5,8,,,,50,90,,None
Jumping MK,6,4,,,,70,120,,Causes blowback knockdown on airborne hit
Jumping HK,10,5,,,,90,150,,None
Kaeshi Genkotsu,10,3,20,2,-4,60,100,→ + MP,VS*Can only be canceled V-Skill II
Tobi Hiza,12,8,18,-2,-6,60,100,→ + MK,None
Hane Jodan Mawashi,14,2,17,3,-4,70,100,← + MK,None
Tsurane Uchiage,11,2,20,D,-5,50,100,MK ▶ MP,None
Oi Onibi (Neutral),60,129,65 total frames,45,42,100,100,(WHEN SELECTING VSKILL I) MK ▶ MP ▶ MP MK,None
Oi Onibi (Down Input),60,167,65 total frames,45,42,100,100,(WHEN SELECTING VSKILL I) MK ▶ MP ▶ ↓ + MP MK,None
Oi Onibi (Back Input),60,144,65 total frames,45,42,100,100,(WHEN SELECTING VSKILL I) MK ▶ MP ▶ ← + MP MK,None
Oi Minomushi,,,36 total frames,,,,,(WHEN SELECTING VSKILL II) MK ▶ MP ▶ MP MK,Can follow up with Kaki Otoshi or Eda Uchi from frame 18
Oi Kaki Otoshi,12,2,21,D,-7,70,100,(WHEN SELECTING VSKILL II) MK ▶ MP ▶ MP MK ▶ P,None
Oi Eda Uchi,11,2,19,D,-4,60,100,(WHEN SELECTING VSKILL II) MK ▶ MP ▶ MP MK ▶ K,None
Double Jump,,,,,,,,(DURING JUMP) ↖ OR ↑ OR ↗,Enters special counterable state from the start of the move until landing
