Move_Name,Startup,Active,Recovery,On Hit,On Block,Damage,Stun,Command,Comments
Standing LP,3,3,7,3,2,20,70,,None
Standing MP,6,2,16,5,3,60,100,,None
Standing HP,11,3,24,5,-6,80,150,,None
Standing LK,4,3,11,3,1,40,70,,None
Standing MK,7,3,18,0,-4,70,100,,None
Standing HK,8,3,21,4,-4,80,150,,"Triggers Crush Counter (+22F)
                                                                                                                                                                VS*Can only be canceled V-Skill II"
Crouching LP,4,3,9,4,3,30,70,,Can be rapid canceled
Crouching MP,6,5,13,6,4,60,100,,None
Crouching HP,15,3,22,-1,-11,80,150,,VS*Can only be canceled V-Skill II
Crouching LK,4,2,12,1,-2,20,70,,"Can be rapid canceled
                                                                                                                                VS*Can only be canceled V-Skill II"
Crouching MK,7,3,15,4,-2,60,100,,VS*Can only be canceled V-Skill II
Crouching HK,10,3,22,D,-14,90,150,,"Triggers Crush Counter (D)
                                                                                                                                                                VS*Can only be canceled V-Skill II"
Jumping LP,4,4,,,,40,70,,None
Jumping MP,6,3,,,,60,100,,Causes blowback knockdown on airborne hit
Jumping HP,12,3,,,,90,150,,None
Jumping LK,3,5,,,,40,70,,Can cross-up
Jumping MK,7,5,,,,60,100,,Causes blowback knockdown on airborne hit
Jumping HK,9,5,,,,90,150,,None
Whiplash,13,4,,,,80,150,(DURING FORWARD JUMP) → + HP,None
Slap & Smash,9,3,,,,70,100,(DURING JUMP) MP ▶ HP,None
Slap & Slash,9,7,,,,70,100,(DURING JUMP) MP ▶ → + HP,None
Slap Shot,5,3,17,,,130,150,(NEAR OPPONENT) → OR + LP LK,None
Frankensteiner,5,3,17,,,140,200,(NEAR OPPONENT) ← + LP LK,None
[VS1] Perfume Swing,25,18,24+4 frame(s) after landing,D,-21,60,80,(WHEN SELECTING VSKILL I) OR ← + MP MK,"Will not hit crouching opponents
                                                                                                Can perform jump attacks from 53F
The jump attacks cause knockback damage on mid-air hit, and increase V-Gauge on hit or block."
[VS2] Cartwheel,,,29 total frames,,,,,(WHEN SELECTING VSKILL II) MP MK,Collision box disappears from frames 4 to 20
[VS2] Cartwheel (Attack),33,4,21+10 frame(s) after landing,D,-12,60,100,(WHEN SELECTING VSKILL II) MP MK (HOLD BUTTONS),S*Only on hit
Poison Cocktail,1,,5,,,,,HP HK,"V-Gauge Timer + 3000F
                                                                                                                                                                                Gains an exclusive special move"
Power Cord,17,2,24,D,-2,60,0,(DURING GUARD) → + LP,"1F - 30F  attack & projectile invincibility
                                                Recover 200 stun upon activation"
V-Shift,1,9,22,,,,,HP MK,"1F - 16F  throw invincibility
                                                Allows you to evade strikes and projectiles from frames 1-9 (Increases the V-Gauge by 150 when the evasion triggers)
Counterable during recovery
17 frame move that's fully invincible until the end of recovery when evading attacks.
Transitions to V-Shift Break when evading attacks."
Danger Zone,8,3,23,D,-2,60,0,HP MK ▶ (AFTER EVADING WITH V-SHIFT) HP MK,1F - 10F  full invincibility
L Avant Line,15,2,27,1,-7,60,100,↓↘→ + LP,None
M Avant Line,15,2,27,2,-8,80,150,↓↘→ + MP,Poison only performs the next attack on hit or block
H Avant Line,15,2,27,D,-17,110,150,↓↘→ + HP,Poison only performs the next attack on hit or block
EX Avant Line,12,7,24,D,-2,120,150,↓↘→ + P P,"Can be transitioned only on hit from frame 5 to the end of the attack
S*Can be canceled by V Trigger exclusive Special Move, only after final attack (or on fourth attack on block)"
Heart Raid(Hold),,,,,,-,-,↓↙← + P (HOLD BUTTONS),"Can perform Heart Raid, Hold – Forward Movement, Hold – Backwards Movement, and Hold Cancel from 14F."
Heart Raid(Hold-Forward Movement),,,32 total frames,,,-,-,↓↙← + P (HOLD BUTTONS) + →,"Can perform Heart Raid and Hold Cancel during movement.
After movement, Poison will return to the Hold state."
