Move_Name,Startup,Active,Recovery,On Hit,On Block,Damage,Stun,Command,Comments
Standing LP,4,3,8,4,2,30,70,,Can be rapid canceled
Standing MP,5,3,13,7,3,60,100,,VS*Can only be canceled V-Skill II
Standing HP,9,3,21,3,-2,80,150,,None
Standing LK,4,3,12,-1,-2,30,70,,None
Standing MK,8,3,17(*15),3,1,60,100,,"VS*Can only be canceled V-Skill II
*On whiff"
Standing HK,12,2,26,1,-4,80,150,,"Triggers Crush Counter  (+20F)
                                                                                                                                                                VS*Can only be canceled V-Skill II"
Crouching LP,3,2,9,3,1,20,70,,Can be rapid canceled
Crouching MP,6,4,13,5,2,60,100,,None
Crouching HP,8,5,23,-2,-5,90,150,,Forces stand
Crouching LK,4,2,8,3,0,20,70,,VS*Can only be canceled V-Skill II
Crouching MK,6,2,14,2,-3,50,100,,None
Crouching HK,8,2,25,D,-13,90,150,,"Triggers Crush Counter  (D)
                                                                                                                                                                VS*Can only be canceled V-Skill II"
Jumping LP,4,6,,,,40,70,,None
Jumping MP,6,7,,,,60,100,,Causes blowback knockdown on airborne hit
Jumping HP,8,5,,,,90,150,,None
Jumping LK,4,8,,,,40,70,,Can cross-up
Jumping MK,7,5,,,,60,100,,None
Jumping HK,10,5,,,,90,150,,None
Floral Kick,21,2,23,1,-7,70,100,→ + MK,None
Furiko Upper,7,3,26,-4,-7,80,150,← + HP,Triggers Crush Counter  (D)
Chin Buster Kick,12,3,20,4,2,80,150,↘ + HK,"Forces stand
                                                                                                                VS*Can only be canceled V-Skill II
Causes blowback knockdown on airborne hit"
Hanakaze,5,3,17,,,130,150,(NEAR OPPONENT) → OR + LP LK,None
Sakura Shoulder Throw,5,3,17,,,150,200,(NEAR OPPONENT) ← + LP LK,None
Sailor Hop,5,2,6 frame(s) after landing,,,160,200,(CLOSE TO OPPONENT IN AIR) LP LK,None
[VS1] Harukaze,,,54+15 frame(s) after landing,,,,,(WHEN SELECTING VSKILL I) MP MK,None
[VS1] Sakura Otoshi,11,3,6 frame(s) after landing(*115),D,-2,50 (*2100) (*3150),40 (*2120) (*3240),(WHEN SELECTING VSKILL I) MP MK ▶ P,"Can be performed up to 3 times on hit only. Startup for the 2nd and 3rd hits is 5F
Value upon making contact with a standing Ryu, blocking, at the highest point
+6F on block at the lowest point
-9F on block at the highest point
Landing recovery for the 3rd attack, hit only, is 5F
*1on hit
*2Up to the 2nd hit
*3Up to the 3rd hit"
