Move_Name,Startup,Active,Recovery,On Hit,On Block,Damage,Stun,Command,Comments
Standing LP,5,2,9,7,1,30,70,,Will not hit crouching opponents
Standing MP,8,2,14,6,2,70,100,,S*Can only be canceled into Switch Claw
Standing HP,8,2,21,7,-2,80,150,,None
Standing LK,3,2,9,4,2,30,70,,None
Standing MK,7,3,12,4,2,60,100,,None
Standing HK,11,3,16,4,-1,80,150,,"Triggers Crush Counter (+18F)
                                                                Will not hit crouching opponents"
Crouching LP,4,3,6,5,2,30,70,,None
Crouching MP,6,2,15,3,1,60,100,,S*Can only be canceled into Switch Claw
Crouching HP,9,3,18,5,3,80,150,,"Forces stand
                                                                                                                S*Can only be canceled into Switch Claw"
Crouching LK,4,2,9,4,0,20,70,,None
Crouching MK,8,2,16,7,2,50,100,,None
Crouching HK,9,9,18,D,-13,80,150,,Triggers Crush Counter  (D)
Jumping LP,4,5,,,,40,70,,None
Jumping MP,5,5,,,,70,100,,None
Jumping HP,7,4,,,,90,150,,None
Jumping LK,4,6,,,,40,70,,Can cross-up
Jumping MK,7,7,,,,70,100,,None
Jumping HK,9,5,,,,90,150,,None
Mercury Shard,22,3,15,0,-7,60,100,→ + MK,13F - 19F  throw invincibility
Buster Claw,13,2,24,-3,-14,80,150,→ + HP,Triggers Crush Counter  (D)
Reverse claw,10,3,22,D,-10,60,80,HP ▶ HP,S*CA*Only on hit
Matador Flash,,,35,,,,,(WHEN SELECTING VSKILL I) HP ▶ HP ▶ (ON HIT) MP MK,"6F - 30F  projectile invincibility
                                6F - 31F  upper body invincibility
                Subject to counter hit during move duration"
Matador Flash (Attack),22,2,31,D,,60,80,(WHEN SELECTING VSKILL I) HP ▶ HP ▶ (ON HIT) MP MK (HOLD BUTTONS),"6F - 19F  projectile invincibility
                                6F - 19F  upper body invincibility"
Wall Jump,,,18,,,,,(DURING JUMP NEAR WALL) ↗,"Can perform jump attacks from 19F
Enters special counterable state from the start of the move until landing"
Rainbow Suplex,5,3,17,,,140,170,(NEAR OPPONENT) → OR + LP LK,None
Crescent Line,5,3,17,,,150,200,(NEAR OPPONENT) ← + LP LK,None
Stardust Shot,5,2,6 frame(s) after landing,,,140,200,(CLOSE TO OPPONENT IN AIR) LP LK,None
[VS1] Matador Turn,,,35,,,,,(WHEN SELECTING VSKILL I) MP MK,"7F - 31F  projectile invincibility
                                7F - 32F  upper body invincibility
                Subject to counter hit during move duration"
[VS1] Matador Turn (Hold Button),22,2,31,D,-13,90,100,(WHEN SELECTING VSKILL I) MP MK (HOLD BUTTONS),"6F - 19F  projectile invincibility
                                6F - 19F  upper body invincibility"
