Move_Name,Startup,Active,Recovery,On Hit,On Block,Damage,Stun,Command,Comments
Standing LP,5,4,7,5,3,40,70,,Frames 1F – 2F will not hit grounded opponents
Standing MP,7,3,15,4,2,70,100,,None
Standing HP,13,5,22,2,0,100,150,,"Triggers Crush Counter (+27F)
                                                                                                                                                                Cannot perform the quickest V-Trigger cancel on block"
Standing HP (Hold Button),37,5,22,D,3,130,200,,"Triggers Crush Counter (+31F)
                                                                                                                                                                Upper body armor from 3F to 34F"
Standing LK,5,2,12,-1,-3,30,70,,None
Standing MK,10,3,17,2,-3,70,100,,None
Standing HK,11,4,22,2,-2,90,150,,"Triggers Crush Counter  (D)
                                                                Will not hit crouching opponents"
Crouching LP,4,3,6,3,3,40,70,,None
Crouching MP,6,3,12,5,3,60,100,,None
Crouching HP,9,6,7+13 frame(s) after landing,2,-4,100,150,,None
Crouching LK,4,2,8,4,2,30,70,,None
Crouching MK,8,2,16,2,-4,60,100,,None
Crouching HK,10,3,26,D,-10,100,150,,Triggers Crush Counter  (D)
Jumping LP,5,5,,,,50,70,,None
Jumping MP,6,4,,,,80,100,,None
Jumping HP,7,6,,,,100,150,,None
Jumping LK,6,5,,,,50,70,,Can cross-up
Jumping MK,7,3,,,,70,100,,None
Jumping HK,9,5,,,,100,150,,None
Head Butt,12,4,14,7,2,100,200,→ + HP,EX Gauge +30 upon canceling a projectile
Knee Hammer,12,4,5+10 frame(s) after landing,3,-3,70,100,→ + MK,None
Flying Body Press,7,7,,,,100,150,(DURING FORWARD JUMP) ↓ + HP,Can cross-up
Flyng Headbutt,8,5,,,,120,200,(DURING VERTICAL JUMP) ↑ + HP,None
Atomic Drop,5,3,17,,,130,170,(NEAR OPPONENT) → OR + LP LK,None
Captured,5,3,17,,,130,170,(NEAR OPPONENT) ← + LP LK,None
Horosho Chokeslam,5,3,17,,,140,200,(WHILE OPPONENT IS CROUCHING) (NEAR OPPONENT) → OR + LP LK,None
[VS1] Iron Muscle,,,25 total frames,,,,,(WHEN SELECTING VSKILL I) MP MK,"Armor from 1F to 15F
Can walk forward while holding the button by pressing →
Can be canceled into a backdash during the hold"
[VS1] Iron Muscle (Attack),58,5,15,2,-2,50,100,(WHEN SELECTING VSKILL I) MP MK (HOLD BUTTONS),Armor from 1F to 49F
[VS1] Muscle Walk,,,,,,,,(WHEN SELECTING VSKILL I) (DURING Iron Muscle) →,Gains armor while active
[VS1] Iron Muscle (Attack after forward walk),9,5,15,2,-2,50,100,(WHEN SELECTING VSKILL I) (DURING Iron Muscle) → + (RELEASE HOLD),None
[VS2] Super Russian Kick,33,7,22,3,-4,80,100,(WHEN SELECTING VSKILL II) MP MK,"Armor from 4F to 20F
Can cancel into a forward or backwards dash while holding the buttons"
[VS2] Super Russian Kick (Hold Button),98,7,23,D,GB,100,120,(WHEN SELECTING VSKILL II) MP MK (HOLD BUTTONS),"Armor from 4F to 85F
Can cancel into a forward or backwards dash while holding the buttons"
Cyclone Lariat,1+18,19,16,3,-6,,,HP HK,"V-Gauge Timer + 3600F
                                                                                                                                2F - 37F  projectile invincibility
                                                Gains Cyclone Lariat as a special move while active"
Activation Cyclone Lariat,1+18,,27,D,-3,140,150,HP HK (HOLD BUTTONS),"Uses 1000F V-Gauge Timer
                                                                                                                                1F - 79F  projectile invincibility"
Post-activation Cyclone Lariat,1+18,,26,D,-3,180,200,HP HK (max hold button),"Uses 3000F V-Gauge Timer
                                                                                                                                1F - 105F  projectile invincibility"
Muscle Explosion,12,2,24,3,-2,40,0,(DURING GUARD) → + LK,"1F - 25F  attack & projectile invincibility
                                                Recover 200 stun upon activation"
V-Shift,1,9,22,,,,,HP MK,"1F - 16F  throw invincibility
                                                Allows you to evade strikes and projectiles from frames 1-9 (Increases the V-Gauge by 150 when the evasion triggers)
Counterable during recovery
17 frame move that's fully invincible until the end of recovery when evading attacks.
Transitions to V-Shift Break when evading attacks."
Colossal Boot,8,3,23,D,-2,60,0,HP MK ▶ (AFTER EVADING WITH V-SHIFT) HP MK,1F - 10F  full invincibility
L Screw Pile Driver,5,2,60,D,,200,250,→↘↓↙←↖↑↗ + LP,None
M Screw Pile Driver,5,2,60,D,,210,250,→↘↓↙←↖↑↗ + MP,None
H Screw Pile Driver,5,2,60,D,,220,250,→↘↓↙←↖↑↗ + HP,None
EX Screw Pile Driver,5,2,60,D,,220,300,→↘↓↙←↖↑↗ + P P,None
L Siberian Express,1  frames after contact,2,52,D,,170,250,→↘↓↙← + LK,None
M Siberian Express,1  frames after contact,2,52,D,,200,250,→↘↓↙← + MK,None
H Siberian Express,1  frames after contact,2,52,D,,220,250,→↘↓↙← + HK,None
EX Siberian Express,1  frames after contact,2,52,D,,230,250,→↘↓↙← + K K,Armor from 3F to 58F
L Borscht Dynamite,3,4,12 frame(s) after landing,D,,180,250,(DURING VERTICAL OR FORWARD JUMP) →↘↓↙← + LP,None
M Borscht Dynamite,3,4,12 frame(s) after landing,D,,200,250,(DURING VERTICAL OR FORWARD JUMP) →↘↓↙← + MP,None
H Borscht Dynamite,3,4,12 frame(s) after landing,D,,220,250,(DURING VERTICAL OR FORWARD JUMP) →↘↓↙← + HP,None
EX Borscht Dynamite,3,4,12 frame(s) after landing,D,,200,250,(DURING VERTICAL OR FORWARD JUMP) →↘↓↙← + P P,None
Double Lariat,9,13,36,D,-38,130(*100),200,LP,"1F - 41F  projectile invincibility
                                                *From active frame 4F
If the attack hits on active frames 9F-11F, recovery reduced by 10F
V*On hit or block"
Tundra Storm,2,12,22,D,,220,300,→↓↘ + P P,"Counter for certain kick attacks
Subject to counter hit during move duration"
VCyclone Lariat,9,19,16,3,-6,,,HP HK,"Uses 1600F V-Gauge Timer
                                                                                                                                1F - 27F  projectile invincibility"
