Move_Name,Startup,Active,Recovery,On Hit,On Block,Damage,Stun,Command,Comments
Standing LP,4,2,9,4,2,30,70,,None
Standing MP,6,2,14,5,3,60,100,,None
Standing HP,9,2,30,-2,-5,80,150,,None
Standing LK,5,4,6,4,2,40,70,,None
Standing MK,7,3,12,7,2,60,100,,Forces stand
Standing HK,13,2,24,5,-2,90,150,,Triggers Crush Counter (+21F)
Crouching LP,4,2,7,4,2,30,70,,Can be rapid canceled
Crouching MP,8,2,14,5,1,60,100,,None
Crouching HP,10,4,16,7,2,80,150,,"Triggers Crush Counter  (D)
                                                Forces stand"
Crouching LK,4,2,8,4,2,20,70,,None
Crouching MK,8,3,17,2,-2,60,100,,None
Crouching HK,10,2,25,D,-8,90,150,,Triggers Crush Counter  (D)
Jumping LP,4,6,,,,40,70,,None
Jumping MP,7,4,,,,60,100,,None
Jumping HP,8,5,,,,90,150,,None
Jumping LK,4,6,,,,40,70,,None
Jumping MK,7,4,,,,60,100,,Can cross-up
Jumping HK,10,4,,,,90,150,,None
Standing LP (from Idaten),4,2,11,2,0,30,70,,None
Standing MP (from Idaten),6,2,19,0,-3,50,80,,S*CA*Only when used from the 1st hit
Standing HP (from Idaten),8,2,34,-8,-11,60,100,,S*CA*Only when used from the 1st hit
Standing LK (from Idaten),5,4,9,1,-1,40,70,,S*CA*Only when used from the 1st hit
Standing MK (from Idaten),6,2,18,1,-2,50,80,,"Forces stand
                                                                                                                S*CA*Only when used from the 1st hit"
Standing HK (from Idaten),13,2,30,-4,-11,60,100,,S*CA*Only when used from the 1st hit
Crouching LP (from Idaten),4,2,9,2,-1,30,70,,None
Crouching MP (from Idaten),8,2,21,0,-4,50,80,,S*CA*Only when used from the 1st hit
Crouching HP (from Idaten),10,4,22,1,-4,60,100,,"Forces stand
                                                                                                                S*CA*Only when used from the 1st hit"
Crouching LK (from Idaten),5,2,10,2,0,20,70,,S*CA*Only when used from the 1st hit
Crouching MK (from Idaten),8,3,22,-7,-11,50,80,,S*CA*Only when used from the 1st hit
Crouching HK (from Idaten),12,2,31,D,-14,60,100,,S*CA*Only when used from the 1st hit
Nouten Wari,22,4,20,1,-7,80,100,→ + HP,None
Tsurigane Otoshi,5,3,17,D,,130,150,(NEAR OPPONENT) → OR + LP LK,None
Mikoshi,5,3,17,D,,150,200,(NEAR OPPONENT) ← + LP LK,None
[VS1] Fukuro,14,4,29,D,-7,100,150,(WHEN SELECTING VSKILL I) MP MK,"On hit, transforms into Young Zeku and performs an additional strike
Hold forward on hit to switch sides"
[VS2] Kuchiyose - Shii (Back),82(*151),Until landing/*5,64 total frames,D,,40+*80,70+*80,(WHEN SELECTING VSKILL II) ← + MP MK,"Firecracker's positioning can be altered with the joystick
If damage is taken before the firecracker is placed, the hawk will be destroyed and the firecracker will not be placed
S*Can be canceled with Shukumyo
*Denotes values of the explosion part"
[VS2] Kuchiyose - Shii (Center),112(*182),Until landing/*5,64 total frames,D,,40+*80,70+*80,(WHEN SELECTING VSKILL II) + MP MK,"Firecracker's positioning can be altered with the joystick
If damage is taken before the firecracker is placed, the hawk will be destroyed and the firecracker will not be placed
S*Can be canceled with Shukumyo
*Denotes values of the explosion part"
[VS2] Kuchiyose - Shii (Forward),143(*217),Until landing/*5,64 total frames,D,,40+*80,70+*80,(WHEN SELECTING VSKILL II) → + MP MK,"Firecracker's positioning can be altered with the joystick
If damage is taken before the firecracker is placed, the hawk will be destroyed and the firecracker will not be placed
S*Can be canceled with Shukumyo
*Denotes values of the explosion part"
Bushinryu Shingekiko,1,,5,,,,,HP HK,"V-Gauge Timer + 1500F
                                                                                                                                                                                Will be able to use Idaten"
Toushi,12,2,24,2,-2,40,0,(DURING GUARD) → + LP,"1F - 25F  attack & projectile invincibility
                                                Recover 200 stun upon activation"
V-Shift,1,9,22,,,,,HP MK,"1F - 16F  throw invincibility
                                                Allows you to evade strikes and projectiles from frames 1-9 (Increases the V-Gauge by 150 when the evasion triggers)
Counterable during recovery
17 frame move that's fully invincible until the end of recovery when evading attacks.
Transitions to V-Shift Break when evading attacks."
Bushin Murakumo,8,3,23,D,-2,60,0,HP MK ▶ (AFTER EVADING WITH V-SHIFT) HP MK,1F - 10F  full invincibility
L Bushin Gram - Koku (base hit),14,1,31,D,-6,90,150,↓↘→ + LK,"The ranged part of the attack will not be activated if the base hits
S*Can be canceled into Shukumyo on hit only"
M Bushin Gram - Koku (base hit),20,1,30,D,-4,100,150,↓↘→ + MK,"The ranged part of the attack will not be activated if the base hits
S*Can be canceled into Shukumyo on hit only"
H Bushin Gram - Koku (base hit),25,1,30,D,-2,120,200,↓↘→ + HK,"The ranged part of the attack will not be activated if the base hits
S*Can be canceled into Shukumyo on hit only"
EX Bushin Gram - Koku (base hit),17,1,40,D,1,140,150,↓↘→ + K K,S*Can be canceled into Shukumyo on hit only
L Bushin Gram - Koku,15,8,45 total frames,4,-3,60,100,↓↘→ + LK,"Has a separate projectile-nullifying hitbox (1 hit) at close-range
S*Can be canceled into Shukumyo on hit only"
M Bushin Gram - Koku,21,9,48 total frames,2,-4,70,100,↓↘→ + MK,"Has a separate projectile-nullifying hitbox (1 hit) at close-range
S*Can be canceled into Shukumyo on hit only"
H Bushin Gram - Koku,26,10,50 total frames,2,-5,90,100,↓↘→ + HK,"Has a separate projectile-nullifying hitbox (1 hit) at close-range
S*Can be canceled into Shukumyo on hit only"
EX Bushin Gram - Koku,18,20,57 total frames,D,-1,110,100,↓↘→ + K K,S*Can be canceled into Shukumyo on hit only
